ID,start_time,departure_time,TotalChargeTime,SOC_initial,SOC_departure,Battery_at_arrival,Battery_capacity,Desired_capacity,Min_battery_capacity
0,4,18,14,0.693533075095604,0.9251826574429497,44.94094326619514,64.8,59.951836202303134,10.0
1,10,29,19,0.4521127336184793,0.9513850807173233,29.839440418819635,66.0,62.79141532734334,10.0
2,11,30,19,0.6658475660088687,0.8849304144309618,43.945939356585335,66.0,58.405407352443476,10.0
3,12,41,29,0.6736247880084455,0.9359712351739746,43.65088626294727,64.8,60.65093603927355,10.0
4,12,34,22,0.7560702498160197,0.9326357305849798,24.19424799411263,32.0,29.844343378719355,10.0
5,13,37,24,0.6742910406152248,0.9188270779571411,38.771734835375426,57.5,52.832556982535614,10.0
6,14,39,25,0.7347008230966667,0.8917193661483089,42.245297328058335,57.5,51.27386355352776,10.0
7,14,41,27,0.5461748986308808,0.8950790532716516,21.300821046604348,39.0,34.90808307759441,10.0
8,14,39,25,0.6848807473589021,0.9192242181967533,31.709978602717168,46.3,42.56008130250967,10.0
9,14,36,22,0.7853770968256202,0.9193700851385586,45.15918306747316,57.5,52.86377989546712,10.0
10,15,32,17,0.6979343902264511,0.8998636847803706,40.131227438020936,57.5,51.74216187487131,10.0
11,15,43,28,0.6641589064174841,0.8988937050330761,25.90219735028188,39.0,35.056854496289965,10.0
12,15,37,22,0.5194805194805194,0.8643251797356816,40.0,77.0,66.55303883964748,10.0
13,15,43,28,0.3333333333333333,0.9220200750710336,25.0,75.0,69.15150563032752,10.0
14,16,60,44,0.154320987654321,0.901848468854528,10.0,64.8,58.43978078177341,10.0
15,17,42,25,0.9090909090909091,0.9419064695007902,60.0,66.0,62.16582698705215,10.0
16,18,40,22,0.33766233766233766,0.9297692006600848,26.0,77.0,71.59222845082654,10.0
17,19,37,18,0.5466666666666666,0.9392248080277483,41.0,75.0,70.44186060208112,10.0
18,20,36,16,0.5303030303030303,0.8810649565970137,35.0,66.0,58.150287135402905,10.0
19,20,41,21,0.8441558441558441,0.9163237050540168,65.0,77.0,70.5569252891593,10.0
20,20,44,24,0.8486355433286337,0.9103732171874183,48.796543741396434,57.5,52.34645998827655,10.0
21,20,40,20,0.9333333333333333,0.901830149475809,70.0,75.0,67.63726121068568,10.0
22,23,34,11,0.7165546878411693,0.8779076278578877,41.20189455086723,57.5,50.47968860182854,10.0
23,23,39,16,0.5990925381710289,0.8920042124343702,23.364608988670128,39.0,34.788164284940436,10.0
24,26,41,15,0.4619913357328821,0.850355159849633,18.017662093582402,39.0,33.163851234135684,10.0
25,36,47,11,0.17391304347826086,0.8882583519534024,10.0,57.5,51.07485523732064,10.0
26,38,55,17,0.8218117008643203,0.9211385735311026,47.254172799698416,57.5,52.965467978038404,10.0
27,39,55,16,0.2857142857142857,0.9177080956592168,22.0,77.0,70.6635233657597,10.0
28,39,55,16,0.5624981017741156,0.9471894608066097,32.343640852011646,57.5,54.463393996380056,10.0
29,39,54,15,0.36203630132205694,0.9464388032856442,20.817087326018274,57.5,54.42023118892455,10.0
30,40,59,19,0.6902510907124012,0.8990738048676852,26.919792537783646,39.0,35.06387838983972,10.0
31,41,60,19,0.96875,0.8653125563100634,62.0,64.0,55.38000360384406,10.0
32,41,53,12,0.6951751349145996,0.8875199552384888,40.32015782504678,58.0,51.47615740383235,10.0
33,42,53,11,0.6018518518518519,0.8885753725948429,39.0,64.8,57.579684144145816,10.0
34,43,59,16,0.4998296886049697,0.9524499615212874,32.38896382160203,64.8,61.718757506579415,10.0
35,44,61,17,0.5291699583064472,0.857863011562176,24.500569069588504,46.3,39.71905743532875,10.0
36,44,62,18,0.42857142857142855,0.8947535291009266,33.0,77.0,68.89602174077135,10.0
37,44,60,16,0.68,0.8955317673396535,51.0,75.0,67.164882550474,10.0
38,44,59,15,0.7728913027645129,0.9242234744815293,44.44124990895949,57.5,53.14284978268793,10.0
39,45,67,22,0.5757575757575758,0.9004118731736602,38.0,66.0,59.427183629461574,10.0
40,45,69,24,0.5644547924315704,0.8485500451274234,29.35164920644166,52.0,44.12460234662601,10.0
41,46,66,20,0.7027179835205202,0.934292756080422,40.75764304419017,58.0,54.188979852664474,10.0
42,47,64,17,0.8348627962142188,0.8680410595676235,43.41286540313938,52.0,45.13813509751642,10.0
43,47,67,20,0.8471795355269508,0.8761703436630717,39.22441249489782,46.3,40.566686911600215,10.0
44,48,68,20,0.7948760011031205,0.9201067148058177,46.10280806398099,58.0,53.36618945873743,10.0
45,48,63,15,0.5297134191440487,0.914670173109474,16.950829412609558,32.0,29.269445539503167,10.0
46,49,84,35,0.6973300303948858,0.939638758820178,40.445141762903376,58.0,54.49904801157032,10.0
47,50,75,25,0.21875,0.8901812974030466,14.0,64.0,56.971603033794985,10.0
48,52,89,37,0.6818181818181818,0.9122009101297763,45.0,66.0,60.20526006856524,10.0
49,54,108,54,0.5343976934056962,0.8784593469892858,34.62897053268911,64.8,56.924165684905724,10.0
50,55,111,56,0.6093548392341049,0.8847383606690441,31.686451640173456,52.0,46.00639475479029,10.0
51,58,110,52,0.7340292737891527,0.9312137107057921,42.20668324287628,57.5,53.544788365583045,10.0
52,59,100,41,0.6163015583853942,0.8956521705551203,35.43733960716017,57.5,51.49999980691941,10.0
53,61,109,48,0.8617020316561234,0.9012802076063547,49.54786682022709,57.5,51.8236119373654,10.0
54,61,104,43,0.7244068323790561,0.9361085741494654,42.01559627798525,58.0,54.294297300668994,10.0
55,61,109,48,0.6507818258068683,0.9094696987227272,42.17066231228506,64.8,58.93363647723272,10.0
56,63,110,47,0.5408171645781257,0.9062021918199902,34.61229853300004,64.0,57.99694027647937,10.0
57,64,99,35,0.6624362055925315,0.8678568929061504,38.42129992436683,58.0,50.335699788556724,10.0
58,66,92,26,0.8133333333333334,0.8617958711620148,61.0,75.0,64.63469033715111,10.0
59,67,95,28,0.7765456612207863,0.9209150490797375,40.380374383480884,52.0,47.887582552146355,10.0
60,68,103,35,0.4917651253113458,0.9033568955461111,28.276494705402385,57.5,51.94302149390139,10.0
61,68,108,40,0.6608265965739132,0.910125454314998,37.99752930300001,57.5,52.33221362311239,10.0
62,71,110,39,0.610675014978596,0.9298689357115341,35.11381336126927,57.5,53.46746380341321,10.0
